time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-04T09:13:42.989Z,-36.6438,179.0142,35,4.9,mb,,141,1.077,0.97,us,us70005bwe,2019-09-04T09:41:39.836Z,"221km NE of Opotiki, New Zealand",earthquake,11.1,2,0.126,20,reviewed,us,us
2019-09-04T08:43:40.423Z,60.101,-152.8803,112.1,2.7,ml,,,,0.68,ak,ak019bcmrhom,2019-09-04T08:54:04.232Z,"43km S of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-04T08:32:41.551Z,69.0585,-146.4556,0,2.7,ml,,,,0.85,ak,ak019bcmp4x4,2019-09-04T08:37:56.462Z,"110km NNW of Arctic Village, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-09-04T07:02:52.759Z,-38.7522,175.9424,10,5.1,mb,,70,0.595,1.39,us,us70005btz,2019-09-04T09:03:35.564Z,"14km WSW of Taupo, New Zealand",earthquake,3.9,1.9,0.131,19,reviewed,us,us
2019-09-04T07:02:38.803Z,58.1317,-152.1671,31.8,3.4,ml,,,,0.58,ak,ak019bclx9lo,2019-09-04T07:37:05.040Z,"40km NNE of Kodiak, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-09-04T06:42:15.500Z,19.3293,-68.1101,111,2.88,md,14,209,1.0788,0.45,pr,pr2019247003,2019-09-04T08:16:52.325Z,"88km NNE of Punta Cana, Dominican Republic",earthquake,4.27,3.93,0.24,14,reviewed,pr,pr
2019-09-04T06:37:43.817Z,69.0606,-146.4158,0.1,2.5,ml,,,,1.12,ak,ak019bcljch9,2019-09-04T06:45:46.544Z,"110km NNW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-09-04T05:04:53.940Z,39.8233,-115.7887,0.1,2.5,ml,9,188.86,0.993,0.13,nn,nn00702388,2019-09-04T05:17:37.562Z,"37km NNE of Eureka, Nevada",earthquake,,8.3,,,automatic,nn,nn
2019-09-04T04:00:45.670Z,20.0003338,-155.3308258,40.47,2.51,md,40,259,0.1127,0.3,hv,hv71124632,2019-09-04T04:04:04.470Z,"17km ESE of Honoka'a, Hawaii",earthquake,1.04,2.28,0.23,4,automatic,hv,hv
2019-09-04T03:36:57.951Z,68.9164,-147.699,6.7,3.4,ml,,,,1.06,ak,ak019bcjquyd,2019-09-04T03:47:38.045Z,"124km NW of Arctic Village, Alaska",earthquake,,0.6,,,automatic,ak,ak
