Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
2016353S11130,2017,01, SI, WA,NONAME,2016-12-18 06:00:00, NR,-10.50, 129.50, 15.0, 1004.0,bom,   0.169,   4.868,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-18 12:00:00, NR,-11.00, 129.00, 15.0, 1006.0,bom,   0.169,   1.429,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-18 18:00:00, NR,-11.40, 129.33, 15.0, 1004.0,bom,   0.169,   4.868,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-18 21:00:00, NR,-11.60, 129.40, 15.0, 1003.0,bom,   0.169,   7.732,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-19 00:00:00, NR,-11.60, 129.30, 15.0, 1003.0,bom,   0.169,   7.732,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-19 03:00:00, NR,-11.80, 129.30, 15.0, 1002.0,bom,   0.169,  10.454,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-19 06:00:00, NR,-11.80, 129.80, 15.0, 1002.0,bom,   0.169,  10.454,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-19 09:00:00, NR,-11.80, 129.90, 15.0, 1002.0,bom,   0.169,  10.454,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-19 12:00:00, NR,-11.80, 129.70, 15.0, 1003.0,bom,   0.169,   7.732,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-19 15:00:00, NR,-11.90, 129.70, 15.0, 1002.0,bom,   0.169,  10.454,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-19 18:00:00, NR,-12.10, 129.90, 15.0, 1000.0,bom,   0.169,  16.678,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-19 21:00:00, NR,-12.20, 129.80, 15.0, 1000.0,bom,   0.169,  16.678,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-20 00:00:00, NR,-12.40, 129.30, 20.0, 1000.0,bom,   1.772,  16.678,main
2016353S11130,2017,01, SI, WA,NONAME,2016-12-20 03:00:00, NR,-12.60, 129.00, 20.0,  998.0,bom,   1.772,  25.937,main
